,Fold,Model,Accuracy,Balanced Accuracy,Precision-Macro,Precision-Weighted,Recall-Macro,Recall-Weighted,F1-Score-Macro,F1-Score-Weighted
238,10,LinearSVC,0.992,0.954,0.965,0.992,0.954,0.992,0.959,0.992
239,10,LogisticRegression,0.992,0.957,0.916,0.992,0.957,0.992,0.925,0.992
240,10,NearestCentroid,0.883,0.848,0.657,0.928,0.848,0.883,0.658,0.899
241,10,PassiveAggressiveClassifier,0.981,0.871,0.83,0.98,0.871,0.981,0.819,0.98
242,10,Perceptron,0.983,0.908,0.887,0.983,0.908,0.983,0.883,0.983
243,10,QuadraticDiscriminantAnalysis,0.524,0.556,0.621,0.742,0.556,0.524,0.478,0.571
244,10,RandomForestClassifier,0.995,0.974,0.981,0.995,0.974,0.995,0.978,0.995
245,10,RidgeClassifier,0.946,0.594,0.596,0.92,0.594,0.946,0.594,0.931
246,10,RidgeClassifierCV,0.946,0.594,0.596,0.92,0.594,0.946,0.594,0.931
247,10,SGDClassifier,0.976,0.699,0.724,0.971,0.699,0.976,0.71,0.974
248,10,SVC,0.973,0.738,0.844,0.972,0.738,0.973,0.765,0.972
249,10,LGBMClassifier,0.422,0.126,0.168,0.377,0.126,0.422,0.078,0.257
